name,location.x,location.y,speed,dist,closestAntenna.location.x,closestAntenna.location.y
people0,1601.5949773696918,940.304567380035,0.7595165882729464,106.42620932366168,1573.3906263823073,1042.9254844310158
people1,1958.6567868876114,1939.8154218642376,0.6161495627964535,639.6518600034117,1591.0418307967452,1416.3521986439862
people2,1044.5407090196845,1415.4233155974362,0.7540952375481443,546.5019111835749,1591.0418307967452,1416.3521986439862
people3,933.7922407826134,1409.2990106736454,0.49767948445516047,596.2373612880701,337.56043242067904,1406.7257455846316
people4,598.0413393463656,18.207861346885117,1.1375316304144163,583.1813711454099,898.2682706838835,518.1721614230981
people5,827.1723246894209,1046.8994157961813,1.2060012180484976,533.4858414744917,898.2682706838835,518.1721614230981
people6,879.7340000618374,1570.441644269058,0.5563855644242723,566.3524282024322,337.56043242067904,1406.7257455846316
people7,2052.5522210799,184.8465001485814,0.509248819254616,874.0628499908336,1957.5287419327249,1053.7287730399466
people8,974.4512614599753,110.2571568338047,0.4686666744902175,414.9680699194498,898.2682706838835,518.1721614230981
people9,1597.3786273301162,493.8276218186711,0.8285708166886052,376.7859061568844,1223.6737842045197,541.9140991583333
people0,1601.5949773696918,940.304567380035,0.7595165882729464,106.42620932366168,1573.3906263823073,1042.9254844310158
people1,1958.6567868876114,1939.8154218642376,0.6161495627964535,639.6518600034117,1591.0418307967452,1416.3521986439862
people2,1044.5407090196845,1415.4233155974362,0.7540952375481443,546.5019111835749,1591.0418307967452,1416.3521986439862
people3,933.7922407826134,1409.2990106736454,0.49767948445516047,596.2373612880701,337.56043242067904,1406.7257455846316
people4,598.0413393463656,18.207861346885117,1.1375316304144163,583.1813711454099,898.2682706838835,518.1721614230981
people5,827.1723246894209,1046.8994157961813,1.2060012180484976,533.4858414744917,898.2682706838835,518.1721614230981
people6,879.7340000618374,1570.441644269058,0.5563855644242723,566.3524282024322,337.56043242067904,1406.7257455846316
people7,2052.5522210799,184.8465001485814,0.509248819254616,874.0628499908336,1957.5287419327249,1053.7287730399466
people8,860.2866681276944,257.3265304018066,0.4686666744902175,263.59636825197737,898.2682706838835,518.1721614230981
people9,1597.3786273301162,493.8276218186711,0.8285708166886052,376.7859061568844,1223.6737842045197,541.9140991583333
people0,1601.5949773696918,940.304567380035,0.7595165882729464,106.42620932366168,1573.3906263823073,1042.9254844310158
people1,1958.6567868876114,1939.8154218642376,0.6161495627964535,639.6518600034117,1591.0418307967452,1416.3521986439862
people2,1044.5407090196845,1415.4233155974362,0.7540952375481443,546.5019111835749,1591.0418307967452,1416.3521986439862
people3,933.7922407826134,1409.2990106736454,0.49767948445516047,596.2373612880701,337.56043242067904,1406.7257455846316
people4,598.0413393463656,18.207861346885117,1.1375316304144163,583.1813711454099,898.2682706838835,518.1721614230981
people5,827.1723246894209,1046.8994157961813,1.2060012180484976,533.4858414744917,898.2682706838835,518.1721614230981
people6,879.7340000618374,1570.441644269058,0.5563855644242723,566.3524282024322,337.56043242067904,1406.7257455846316
people7,2052.5522210799,184.8465001485814,0.509248819254616,874.0628499908336,1957.5287419327249,1053.7287730399466
people8,860.2866681276944,257.3265304018066,0.4686666744902175,263.59636825197737,898.2682706838835,518.1721614230981
people9,1597.3786273301162,493.8276218186711,0.8285708166886052,376.7859061568844,1223.6737842045197,541.9140991583333
people0,1601.5949773696918,940.304567380035,0.7595165882729464,106.42620932366168,1573.3906263823073,1042.9254844310158
people1,1958.6567868876114,1939.8154218642376,0.6161495627964535,639.6518600034117,1591.0418307967452,1416.3521986439862
people2,1044.5407090196845,1415.4233155974362,0.7540952375481443,546.5019111835749,1591.0418307967452,1416.3521986439862
people3,933.7922407826134,1409.2990106736454,0.49767948445516047,596.2373612880701,337.56043242067904,1406.7257455846316
people4,598.0413393463656,18.207861346885117,1.1375316304144163,583.1813711454099,898.2682706838835,518.1721614230981
people5,827.1723246894209,1046.8994157961813,1.2060012180484976,533.4858414744917,898.2682706838835,518.1721614230981
people6,879.7340000618374,1570.441644269058,0.5563855644242723,566.3524282024322,337.56043242067904,1406.7257455846316
people7,2052.5522210799,184.8465001485814,0.509248819254616,874.0628499908336,1957.5287419327249,1053.7287730399466
people8,860.2866681276944,257.3265304018066,0.4686666744902175,263.59636825197737,898.2682706838835,518.1721614230981
people9,1597.3786273301162,493.8276218186711,0.8285708166886052,376.7859061568844,1223.6737842045197,541.9140991583333
people0,1601.5949773696918,940.304567380035,0.7595165882729464,106.42620932366168,1573.3906263823073,1042.9254844310158
people1,1958.6567868876114,1939.8154218642376,0.6161495627964535,639.6518600034117,1591.0418307967452,1416.3521986439862
people2,1044.5407090196845,1415.4233155974362,0.7540952375481443,546.5019111835749,1591.0418307967452,1416.3521986439862
people3,933.7922407826134,1409.2990106736454,0.49767948445516047,596.2373612880701,337.56043242067904,1406.7257455846316
people4,598.0413393463656,18.207861346885117,1.1375316304144163,583.1813711454099,898.2682706838835,518.1721614230981
people5,827.1723246894209,1046.8994157961813,1.2060012180484976,533.4858414744917,898.2682706838835,518.1721614230981
people6,879.7340000618374,1570.441644269058,0.5563855644242723,566.3524282024322,337.56043242067904,1406.7257455846316
people7,2052.5522210799,184.8465001485814,0.509248819254616,874.0628499908336,1957.5287419327249,1053.7287730399466
people8,860.2866681276944,257.3265304018066,0.4686666744902175,263.59636825197737,898.2682706838835,518.1721614230981
people9,1597.3786273301162,493.8276218186711,0.8285708166886052,376.7859061568844,1223.6737842045197,541.9140991583333
people0,1601.5949773696918,940.304567380035,0.7595165882729464,106.42620932366168,1573.3906263823073,1042.9254844310158
